"codigo","detalles"
"Ib ","Escala de magnitud: producción reducida, las relaciones con el entorno, no producen impactos significativos, se permiten actividades inocuas. Se pueden localizar en toda la trama urbana. Mayor superficie ocupada en el desarrollo de las actividades. Se pueden localizar en áres residenciales de baja y media densidad. Actividades de mediana escala tales como Fabricación de hielo., elaboración de comida, tapicería, fábrica de velas."
"Ic ","Escala de magnitud: producción reducida, las relaciones con el entorno, no producen impactos significativos, se permiten actividades inocuas. Se pueden localizar en toda la trama urbana, Mayor superficie en el desarrollo de las actividades, se pueden localizar en áreas de uso mixto área central y extensiones, Actividades de medianas escalas tales como: venta minoristas con deposito complementario, librería locales comerciales"
"Id ","Escala de magnitud: producción reducida, las relaciones con el entorno, no producen impactos significativos, se permiten actividades inocuas. Se pueden localizar en toda la trama urbana, Mayor superficie en el desarrollo de las actividades, se pueden localizar en toda la trama urbana. Mayor superficie en el desarrollo de las actividades, se puede localizar en áreas de uso mixto, corredor red vial principal y secundario. Actividades de mediana escala tales como: Depósitos de materiales de construcción, taller mecánico, lavadero. "
"IAR ","Industrial - Rural. Comprende actividades directamente relacionadas con la explotación de recursos naturales y renovables. (agua-flora-fauna). Asentamientos rurales. Actividades de gran escala tales como: Criadero de peces, viveros."
"Ia ","Escala de magnitud: producción reducida, las relaciones con el entorno, no producen impactos significativos, se permiten actividades inocuas. Se pueden localizar en toda la trama urbana. Actividades de pequeñas escalas tales como: Panadería, tejidos, orfebrería y joyería se pueden localizar en forma restringida, en sectores urbanos que tengan condiciones ambientales preservables y de uso residencial."
"Iia ","Escala de Producción y magnitud de gran impacto e interferencias en el entorno, uso intensivo en el suelo y compatibles con el uso residencial. Restricciones constructivas en las edificaciones, aspectos técnicos. Se pueden localizar en áreas residencial de baja densidad y poca antigüedad en la construcción Generalmente se ubican en la periferia. Actividades de mediana escala tales como imprenta, fabricación de envases, fabricación de ceras."
"Iib ","Escala de producción y magnitud de gran impacto e interferencias en el entorno, uso intensivo en el suelo y compatibles con el uso residencial. Restricciones constructivas en las edificaciones, aspectos técnicos. Se pueden localizar en áreas residencial d baja densidad y poca antigüedad en la construcción generalmente se ubican en la periferia. Actividades de mediana escala tales como: Depósito de comestibles, depósito de productos lácteos, depósito de vinos, depósitos de quesos."
"Iic ","Escala de producción y magnitud de gran impacto e interferencias en el entorno, uso intensico en el suelo y compatibles con el uso residencial. Restricciones constructivas en las edificaciones, aspectos técnicos. Se pueden localizar en áreas residencial de baja densidad y poca antiguedad en la construccion. generalmente se ubican en la periferia. Mayor superficie en el desarrollo de las actividades. se localizan en áreas de uso mixto, ubicado generalmente sobre la red vial principal. Actividades tales como: elaboración de productos farmacéuticos, fabricación de pinturas, imprentas. "
"IIIa ","Actividades de molestias significativas en el entorno, tienen compatibilidad con uso residencial. Restricciones en su localización, generalmente se ubican en áreas urbanas de igual accesibilidad a nivel urbano y regional. Mayor superficie en el desarrollo de la actividad, se localiza en áreas periféricas de ocupación relativa. uso residencial de baja y media densidad. Actividades de mediana escala tales como: Fábrica de prendas de vestir, fábricas de calzados, marroquinería, actividades especiales (Supermercados y estaciones de servicio)."
"IIIb ","Actividades de molestias significativas en el entorno, tienen compatibilidad con uso residencial. Restricciones en su localización, generalmente se ubican en áreas urbanas de igual accesibilidad a nivel urbano y regional. Mayor superficie en el desarrollo de la actividad, se localiza en áreas periféricas de ocupación relativa, uso residencial de baja y media densidad. Actividad de media escala tales como: Fabricación y fraccionamiento de hidrocarburos, depósito de combustibles, taller de chapa y pintura de alta tecnología, recarga de matafuegos."
"IIIc ","Actividades de molestias significativas en el entorno, tienen compatibilidad con uso residencial. Restricciones en su localización, generalmente se ubican en áreas urbanas de igual accesibilidad a nivel urbano y regional. Mayor superficie en el desarrollo de la actividad, se localiza en áreas periféricas de ocupación relativa, uso residencial de baja y media densidad. Área de mayor influencia a equipamientos urbanos, con iguales condiciones de accesibilidad urbana y regional. Actividades de mediana y gran escala tales como: Supermercados, Fábricas de bebidas, bodegas, lavaderos de lana."
"IVa ","Industrial - Rural. Comprende actividades directamente relacionadas con la explotación de recursos naturales y no renovables. (agua-flora-fauna). Asentamientos rurales. Actividades de gran escala tales como: Criadero de peces, viveros."
"IVb ","Actividades que producen molestia, se controlan disposiciones urbanísticas, tecnológicas, localización de acuerdo a variables de Accesibilidad, impacto ambiental, grado de envergadura, magnitud. Restricción en el uso residencial. Requiere estudios particularizados para cada actividad a localizar. actividad de gran escala tales como: Depósito de caudales, depósitos de cartuchos y balas, depósitos de plaguicidas, fungicidas, productos químicos e inflamables."
"V ","Actividades que por necesidad deberán localizase en áreas de índole especial; se admiten usos industriales o asimilables, con características de peligrosos de inflamables, de explosivos, de nocivos. No se admite el uso residencial ni condicionado con otros usos. Actividades de gran escala tales como: Fraccionamiento de gas licuado de petróleo, depósitos de cloro, gases combustibles, Inflamables, comburentes e inertes."
